problem,n,nnz,r,method,matvecs,time_s,converged,residual,speedup,predicted_speedup
ca-HepPh eigenvector centrality,12008,237010,0.37510586123154277,power,35,0.0058257500641047955,True,5.105569884575694e-13,1.0,1.6689684849787165
ca-HepPh eigenvector centrality,12008,237010,0.37510586123154277,static,23,0.0038933339528739452,True,7.780347170445551e-13,1.5217391304347827,1.6689684849787165
ca-HepPh eigenvector centrality,12008,237010,0.37510586123154277,dynamic,23,0.004769917111843824,True,2.0183682271742126e-13,1.5217391304347827,1.6689684849787165
cit-HepPh co-citation $AA^T$,34546,6324870,0.8637761843402467,power,236,1.0854717080947012,True,9.739560452510317e-13,1.0,3.786404908426603
cit-HepPh co-citation $AA^T$,34546,6324870,0.8637761843402467,static,72,0.33402129216119647,True,9.058040440039814e-13,3.2777777777777777,3.786404908426603
cit-HepPh co-citation $AA^T$,34546,6324870,0.8637761843402467,dynamic,66,0.3086399999447167,True,9.230664454485873e-13,3.5757575757575757,3.786404908426603
