graph,n,d,n_sampled,max_abs_imag,beta_paper,rate_at_beta_paper,diverges,beta_stability_limit,beta_best,rate_best,achievable_speedup,predicted_speedup,beta_imaginary_axis_bound,n_modes_overtaking,measured_speedup_at_beta_best,matvecs_power,matvecs_at_beta_best,converged_at_beta_best
cit-HepPh,34546,0.85,179,0.353155571175219,0.18062499999999998,0.8436061498818874,False,0.21724181023537134,0.1471985991524512,0.7406887642802068,1.8470141543608523,3.603774859645975,0.06937499999970326,0,1.2564102564102564,98,78,True
cit-HepPh,34546,0.95,179,0.3947032854311246,0.225625,1.0969961291508181,True,0.20855213782595647,0.1838419207766383,0.8972506802567809,2.1137264059912395,6.297829826079716,0.02437499999999995,4,1.4663461538461537,305,208,True
cit-HepPh,34546,0.99,179,0.4113223711334948,0.245025,1.3146857336300573,True,0.2047386844664291,0.19959979970035016,0.9774078577591444,2.273680706869782,14.130317913366113,0.004974999999964045,61,1.6141814389989573,1548,959,True
wiki-Vote,7115,0.85,179,0.20384323803390833,0.18062499999999998,0.7060241956579033,False,0.2395598897329332,0.052526263079039515,0.37352702379636327,6.059385987843635,3.603774859645975,0.06937499999970326,0,1.28,32,25,True
wiki-Vote,7115,0.95,179,0.22782479544966375,0.225625,0.9180893356834596,False,0.23699674895030007,0.06553276631765882,0.42405685684605543,16.72514403000543,6.297829826079716,0.02437499999999995,0,1.3571428571428572,38,28,True
wiki-Vote,7115,0.99,179,0.2374174184159646,0.245025,1.1002764000227296,True,0.23587146763109526,0.07116058021898448,0.4451048662483045,80.53913639169373,14.130317913366113,0.004974999999964045,126,1.4137931034482758,41,29,True
